Index,PMID,Substrate,Substrate PubChem CID,Metabolite,Metabolite PubChem CID,Metabolite ChEBI,Metabolite HMDB,Metabolite KEGG,Metabolite fooDB,Metabolite Metabolights,Extra Source,Gene,Gene ID,Alteration,high/low-throughput,Associative mode,human/mouse,Sample,Experimental method,Measurement technique,Description,Condition,DOID
1,28322790,,,Acetate,175,CHEBI:30089,,,FDB008299,MTBLC30089,homo sapiens,FFAR3,2865,activation,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Acetate,175,CHEBI:30089,,,FDB008299,MTBLC30089,homo sapiens,FFAR2,2867,activation,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Acetate,175,CHEBI:30089,,,FDB008299,MTBLC30089,homo sapiens,CCL2,6347,inhibition,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,FFAR3,2865,activation,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,FFAR2,2867,activation,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,CCL2,6347,inhibition,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Propionate,104745,CHEBI:17272,,,FDB031132,MTBLC17272,food; homo sapiens; mus musculus,FFAR3,2865,activation,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Propionate,104745,CHEBI:17272,,,FDB031132,MTBLC17272,food; homo sapiens; mus musculus,FFAR2,2867,activation,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
1,28322790,,,Propionate,104745,CHEBI:17272,,,FDB031132,MTBLC17272,food; homo sapiens; mus musculus,CCL2,6347,inhibition,low-throughput,causally,human,renal parenchymal cells,cell culture,"ELISA,real-time PCR,immunoblot analysis","we demonstrated that GPR41 and GPR43 were modestly expressed in human distal renal tubules and col lecting tubules. We also found that SCFAs (acetate, propionate, and butyrate) inhibited TNF-a induced expression of a pro inflammatory factor, MCP-1, in HRCEs by reducing p38 and JNK phosphorylation via GPR41 and/or GPR43 activation involving Gi/o, particularly Gb/g. To the best of our knowledge, this is the first report to describe the anti-inflammatory effects of SCFAs through a GPR41/43/Gb/g pathway in renal parenchymal cells.",healthy,
2,29325896,,,Trimethylamine oxide,1145,CHEBI:15724,HMDB0000925,C01104,FDB010413,MTBLC15724,food; homo sapiens,Sirt1,93759,inhibition,low-throughput,causally,mouse,liver and blood,cell culture,"immunofluorescence,real-time qPCR,Western blot assay,LC/MS/MS analysis","TMAO inhibits SIRT1 expression, induces oxidative stress, and impairs NO production both in vivo and in vitro.",healthy,
